code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev
cloud,2020,16,71,POINT (-174.94742742638564 -21.43034535282411),1.0,712740.0,-2371170.0,0.0,0.23199999332427979,0.21521499752998352,4.0,0.21960000693798065,0.20311500132083893,0.23119999468326569,0.23663750290870667,0.20010000467300415,0.21518750488758087,0.10999999940395355,0.0969650000333786,0.10270000249147415,0.08973249793052673,0.04859999939799309,0.18751320242881775,0.4370930790901184
cloud,2020,16,71,POINT (-174.94599082766533 -21.43050359805709),1.0,712890.0,-2371200.0,0.0,0.13989999890327454,0.15074124932289124,4.0,0.1469999998807907,0.1468774974346161,0.17720000445842743,0.18380999565124512,0.1354999989271164,0.1532987505197525,0.10830000042915344,0.09635999798774719,0.09539999812841415,0.07804500311613083,0.17190000414848328,0.3027297258377075,0.5730069875717163
cloud,2020,16,71,POINT (-174.91635745798402 -21.32098285634437),1.0,716130.0,-2359110.0,0.0,0.4945000112056732,0.3208562433719635,4.0,0.4948999881744385,0.296999990940094,0.6532999873161316,0.1435225009918213,0.49239999055862427,0.30343499779701233,0.2612999975681305,0.11617375165224075,0.21230000257492065,0.0757487490773201,-0.30889999866485596,0.16884422302246094,0.24312758445739746
cloud,2020,16,71,POINT (-174.93810361900492 -21.329217600694534),1.0,713850.0,-2359980.0,0.0,0.36250001192092896,0.25855499505996704,5.0,0.3573000133037567,0.1500674933195114,0.5760999917984009,0.11233749985694885,0.3569999933242798,0.1591150015592575,0.3352999985218048,0.07953000068664551,0.2655999958515167,0.04339500144124031,-0.3314000070095062,0.07017993181943893,0.22262591123580933
cloud,2020,16,71,POINT (-174.91139978396887 -21.38515924535528),1.0,716550.0,-2366220.0,0.0,0.37599998712539673,0.35923248529434204,5.0,0.41179999709129333,0.37996751070022583,0.6151000261306763,0.24122999608516693,0.4124999940395355,0.39564248919487,0.25200000405311584,0.11362999677658081,0.18700000643730164,0.13562999665737152,-0.28360000252723694,0.20477941632270813,0.2434891164302826
cloud,2020,16,71,POINT (-174.9225545505029 -21.425202288287075),1.0,715320.0,-2370630.0,0.0,0.33730000257492065,0.30806875228881836,4.0,0.34220001101493835,0.2786712646484375,0.5956000089645386,0.15230874717235565,0.3280999958515167,0.28769123554229736,0.24089999496936798,0.07337000221014023,0.16840000450611115,0.08728499710559845,-0.4244999885559082,0.17335644364356995,0.2119244635105133
cloud,2020,16,71,POINT (-174.92379396900668 -21.432587144105835),1.0,715170.0,-2371440.0,0.0,0.30230000615119934,0.2865912616252899,4.0,0.30809998512268066,0.2572762370109558,0.534600019454956,0.15961000323295593,0.2896000146865845,0.25825250148773193,0.2515999972820282,0.0978037491440773,0.1615999937057495,0.08896250277757645,-0.4293999969959259,0.20006220042705536,0.2269258052110672
cloud,2020,16,71,POINT (-174.89878025011217 -21.426046290935492),1.0,717780.0,-2370750.0,0.0,0.3610000014305115,0.3488925099372864,5.0,0.34779998660087585,0.34397000074386597,0.41990000009536743,0.418164998292923,0.34450000524520874,0.34727001190185547,0.31869998574256897,0.026592500507831573,0.22450000047683716,0.047712501138448715,-0.1274999976158142,0.12472496181726456,0.24630075693130493
cloud,2020,16,71,POINT (-174.90047036625367 -21.423092260074377),1.0,717630.0,-2370420.0,0.0,0.26089999079704285,0.23996500670909882,5.0,0.26840001344680786,0.25940749049186707,0.3540000021457672,0.3481774926185608,0.263700008392334,0.2601499855518341,0.2502000033855438,0.09883499890565872,0.22020000219345093,0.019139999523758888,-0.08489999920129776,0.17192591726779938,0.28717055916786194
cloud,2020,16,71,POINT (-174.9170913182077 -21.32942064123229),1.0,716040.0,-2360040.0,0.0,0.5164999961853027,0.4927175045013428,5.0,0.5325000286102295,0.46807751059532166,0.708899974822998,0.1829025000333786,0.5309000015258789,0.4644474983215332,0.1843000054359436,0.04020500183105469,0.17000000178813934,0.10471999645233154,-0.2962999939918518,0.2944459617137909,0.24570272862911224
