code,time,row,column,row_2,column_2,id,tile_id,epsg,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,meanwi,meanwi_mad,meanwi_stdev,mndwi,mndwi_mad,mndwi_stdev,ndwi,ndwi_mad,ndwi_stdev,nir08,nir08_mad,nir08_stdev,nirwi,nirwi_mad,nirwi_stdev,red,red_mad,swir16,swir16_mad,swir22,swir22_mad
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2278370944057 -21.205987025746285),1.0,683940.0,-2345970.0,0.0,0.49779999256134033,0.10551749914884567,3.0,0.47780001163482666,0.10645250231027603,-0.2070000022649765,0.0894918441772461,0.08590547740459442,0.7796000242233276,0.024119840934872627,0.4756149351596832,0.13750000298023224,0.05791149660944939,0.253848135471344,0.3215000033378601,0.0916299968957901,0.08725706487894058,-0.43050000071525574,0.1210721880197525,0.10908665508031845,0.40059998631477356,0.1554574966430664,0.06350000202655792,0.004399999976158142,0.026900000870227814,0.004482499789446592
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2255646673504 -21.2064845689603),1.0,684180.0,-2346030.0,0.0,0.2678000032901764,0.24299000203609467,2.0,0.3368000090122223,0.1942324936389923,-0.013000000268220901,0.21168340742588043,0.21168340742588043,0.8223999738693237,0.0722350999712944,0.0722350999712944,0.16089999675750732,0.06361277401447296,0.06361277401447296,0.26350000500679016,0.17326374351978302,0.17326374351978302,-0.18700000643730164,0.3597540557384491,0.3597540557384491,0.3248000144958496,0.2125612497329712,0.04179999977350235,0.033934999257326126,0.017799999564886093,0.008580000139772892
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2249108213152 -21.20652631900874),1.0,684240.0,-2346030.0,0.0,0.263700008392334,0.03156999871134758,3.0,0.2825999855995178,0.002117499941959977,-0.16699999570846558,0.004827394150197506,0.013007843866944313,0.7750999927520752,0.022084364667534828,0.1130320355296135,0.027899999171495438,0.0335550494492054,0.06637564301490784,0.28369998931884766,0.016417499631643295,0.04374372586607933,-0.3781999945640564,0.02582288160920143,0.056494779884815216,0.29580000042915344,0.03443000093102455,0.05590000003576279,0.02012999914586544,0.022700000554323196,0.004702500067651272
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2281299654068 -21.205627745646225),1.0,683910.0,-2345940.0,0.0,0.3547999858856201,0.18862250447273254,3.0,0.38260000944137573,0.2033350020647049,-0.2513999938964844,0.02237839065492153,0.048742324113845825,0.7233999967575073,0.03552085906267166,0.4491041898727417,0.05820000171661377,0.040391311049461365,0.22582416236400604,0.3138999938964844,0.15636500716209412,0.14905352890491486,-0.4207000136375427,0.18511825799942017,0.2074243426322937,0.3799999952316284,0.17798000574111938,0.08020000159740448,0.018892500549554825,0.03310000151395798,0.008469999767839909
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.22875130294236 -21.205703554073725),1.0,683850.0,-2345940.0,0.0,0.39649999141693115,0.1745699942111969,3.0,0.3946000039577484,0.21348249912261963,-0.009700000286102295,0.0038354790303856134,0.09095752984285355,0.7490000128746033,0.028484990820288658,0.49666881561279297,0.15289999544620514,0.11145991086959839,0.29780253767967224,0.22949999570846558,0.1751749962568283,0.16047866642475128,-0.2840000092983246,0.2705475389957428,0.40337780117988586,0.34209999442100525,0.22951500117778778,0.049300000071525574,0.008607500232756138,0.0340999998152256,0.011852500028908253
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2112777263205 -21.212533861746774),1.0,685650.0,-2346720.0,0.0,0.4203999936580658,0.2250324934720993,6.0,0.46230000257492065,0.2215537428855896,-0.22259999811649323,0.014918385073542595,0.12272921949625015,0.6488000154495239,0.09054888039827347,0.33194345235824585,0.07349999994039536,0.07389014959335327,0.1453542560338974,0.4323999881744385,0.0804237499833107,0.15838965773582458,-0.5422000288963318,0.05778086185455322,0.2662160098552704,0.44209998846054077,0.19793124496936798,0.1071000024676323,0.014932500198483467,0.04520000144839287,0.021697500720620155
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.2116544031891 -21.212883711968598),1.0,685620.0,-2346750.0,0.0,0.25049999356269836,0.08599250018596649,5.0,0.2825999855995178,0.08692750334739685,0.07519999891519547,0.09483563899993896,0.35958918929100037,0.6988000273704529,0.13433171808719635,0.3451569974422455,0.33149999380111694,0.051194969564676285,0.25543734431266785,0.1850000023841858,0.06311249732971191,0.12323273718357086,-0.18209999799728394,0.13722187280654907,0.4886995553970337,0.267300009727478,0.060224998742341995,0.04039999842643738,0.009624999947845936,0.016300000250339508,0.007562499959021807
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.21047974987894 -21.21314659926825),1.0,685740.0,-2346780.0,0.0,0.4519999921321869,0.21866625547409058,6.0,0.4528999924659729,0.2080787569284439,-0.21310000121593475,0.05785292014479637,0.13365495204925537,0.6990000009536743,0.12414826452732086,0.33588775992393494,0.12349999696016312,0.10376515239477158,0.15562860667705536,0.40049999952316284,0.08722999691963196,0.13333533704280853,-0.5138999819755554,0.0700235515832901,0.2179827243089676,0.42980000376701355,0.19366875290870667,0.0803999975323677,0.03245000168681145,0.03139999881386757,0.008758749812841415
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.20962148147785 -21.21358105503783),1.0,685830.0,-2346840.0,0.0,0.32989999651908875,0.06305749714374542,5.0,0.30320000648498535,0.08368249982595444,0.003599999938160181,0.1190815195441246,0.2001493275165558,0.7159000039100647,0.13743501901626587,0.3173070549964905,0.2159000039100647,0.041703879833221436,0.15433771908283234,0.19550000131130219,0.10771749913692474,0.14924782514572144,-0.2085999995470047,0.27986690402030945,0.2762441039085388,0.271699994802475,0.10681000351905823,0.0471000000834465,0.019002500921487808,0.02199999988079071,0.004372499883174896
surf,2019,68,15,16,71,016071,"16,71",32601,POINT (-175.21166226172417 -21.212273198962894),1.0,685620.0,-2346690.0,0.0,0.34540000557899475,0.19306375086307526,6.0,0.3334999978542328,0.14793625473976135,-0.25529998540878296,0.06214745342731476,0.1882954090833664,0.6772000193595886,0.06461738795042038,0.33863821625709534,0.06239999830722809,0.10257159918546677,0.15190283954143524,0.3560999929904938,0.07998374849557877,0.14527761936187744,-0.4629000127315521,0.09167050570249557,0.27275779843330383,0.3384999930858612,0.14195500314235687,0.09480000287294388,0.057653751224279404,0.03779999911785126,0.01882375031709671
