code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
bare_terrain,2019,15,50,POINT (166.82644356406075 -22.424163723077267),1.0,687990.0,-2480910.0,0.0,0.025499999523162842,0.009776250459253788,6.0,0.04230000078678131,0.017297500744462013,0.10270000249147415,0.03955874964594841,0.05959999933838844,0.024158749729394913,0.1712000072002411,0.06027999892830849,0.10509999841451645,0.04307875037193298,-0.24704042077064514,0.1744541972875595,0.17699313163757324,-0.6037470698356628,-0.41655170917510986,0.10966624319553375
bare_terrain,2019,15,50,POINT (166.82602483480167 -22.422683287227613),1.0,687930.0,-2480760.0,0.0,0.02979999966919422,0.005692500155419111,6.0,0.04129999876022339,0.010285000316798687,0.1136000007390976,0.012553749606013298,0.05220000073313713,0.011096250265836716,0.1867000013589859,0.00842874962836504,0.10000000149011612,0.006393750198185444,-0.2890583276748657,0.02062925323843956,0.13903850317001343,-0.6377193331718445,-0.4667527675628662,0.05960267037153244
bare_terrain,2019,15,50,POINT (166.82595098639092 -22.421369545064337),1.0,687930.0,-2480610.0,0.0,0.02810000069439411,0.0031900000758469105,5.0,0.041099999099969864,0.0033275000751018524,0.11219999939203262,0.0031075000297278166,0.057500001043081284,0.0016225000144913793,0.22779999673366547,0.03517249971628189,0.13760000467300415,0.017957499250769615,-0.31426578760147095,0.017732324078679085,0.10889969766139984,-0.6943101286888123,-0.4637964367866516,0.06577853858470917
bare_terrain,2019,15,50,POINT (166.82559642210708 -22.421699688610484),1.0,687900.0,-2480640.0,0.0,0.03229999914765358,0.005307499784976244,5.0,0.041999999433755875,0.007205000147223473,0.11069999635219574,0.013364999555051327,0.05950000137090683,0.008332500234246254,0.18569999933242798,0.030799999833106995,0.09539999812841415,0.016747500747442245,-0.2793087959289551,0.03080919198691845,0.11964500695466995,-0.6310935616493225,-0.4499017894268036,0.07247595489025116
bare_terrain,2019,15,50,POINT (166.8310357943066 -22.414869560492278),1.0,688470.0,-2479890.0,0.0,0.017799999564886093,0.0006462499732151628,4.0,0.026499999687075615,0.002062499988824129,0.1023000031709671,0.011426250450313091,0.026000000536441803,0.0019112499430775642,0.0877000018954277,0.006696249824017286,0.050200000405311584,0.0040837498381733894,-0.21215416491031647,0.02953471802175045,0.15052326023578644,-0.5359019041061401,-0.5885093212127686,0.1115935817360878
bare_terrain,2019,15,50,POINT (166.83621207012743 -22.41536273006067),1.0,689010.0,-2479950.0,0.0,0.013899999670684338,0.0010725000174716115,4.0,0.019600000232458115,0.002048749942332506,0.08449999988079071,0.006105000153183937,0.016899999231100082,0.002461249940097332,0.05689999833703041,0.008648750372231007,0.03099999949336052,0.005940000060945749,0.18973511457443237,0.027109719812870026,0.1865610033273697,-0.48758167028427124,-0.6234389543533325,0.20470590889453888
bare_terrain,2019,15,50,POINT (166.83576158173716 -22.41475572036106),1.0,688950.0,-2479890.0,0.0,0.02019999921321869,0.0034650000743567944,5.0,0.028599999845027924,0.005307499784976244,0.1046999990940094,0.01611500047147274,0.027499999850988388,0.00525250006467104,0.11029999703168869,0.02843499928712845,0.06830000132322311,0.02199999988079071,-0.24403199553489685,0.056559666991233826,0.1434105783700943,-0.5881929397583008,-0.5708926916122437,0.10012894868850708
bare_terrain,2019,15,50,POINT (166.83643654915912 -22.41437675769793),1.0,689040.0,-2479860.0,0.0,0.022199999541044235,0.0009899999713525176,4.0,0.0333000011742115,0.002873749937862158,0.09679999947547913,0.008538750000298023,0.039400000125169754,0.0028462500777095556,0.1378999948501587,0.018328750506043434,0.09239999949932098,0.014217499643564224,-0.2360956370830536,0.03468291461467743,0.13583923876285553,-0.6109813451766968,-0.48808610439300537,0.1387900561094284
bare_terrain,2019,15,50,POINT (166.83267974235477 -22.412663306838535),1.0,688650.0,-2479650.0,0.0,0.007000000216066837,0.0016499999910593033,5.0,0.010300000198185444,0.0037124999798834324,0.051500000059604645,0.023952500894665718,0.007699999958276749,0.0028874999843537807,0.028699999675154686,0.01163250021636486,0.0203000009059906,0.008112500421702862,0.4514693021774292,0.111538827419281,0.2645939886569977,-0.47179481387138367,-0.6666666865348816,0.4261838495731354
bare_terrain,2019,15,50,POINT (166.83210465431006 -22.411606127003008),1.0,688590.0,-2479530.0,0.0,0.01640000008046627,0.0073425001464784145,6.0,0.02419999986886978,0.012677500024437904,0.10670000314712524,0.06280999630689621,0.0215000007301569,0.01291124988347292,0.07440000027418137,0.04629625007510185,0.041200000792741776,0.022907499223947525,0.0666126012802124,0.2919365167617798,0.270517498254776,-0.5091277956962585,-0.6302521228790283,0.09075416624546051
